repo,size,archive_time,archive_size,gzip_time,gzip_size,bzip2_time,bzip2_size,xz_time,xz_size,zip_time,zip_size
alstore,48M,0.025,48M,1.212,45M,1.21,45M,13.226,44M,1.187,45M
andrewng,372M,0.178,371M,10.138,359M,10.102,359M,109.858,348M,9.721,359M
bandersnatch,1.5M,0.002,1.2M,0.03,796K,0.03,796K,0.22,752K,0.029,832K
chiaki,5.6M,0.004,5.0M,0.126,3.7M,0.125,3.7M,0.987,3.4M,0.124,3.8M
codesearch,136M,0.065,135M,3.754,58M,3.797,58M,51.398,49M,3.934,59M
contrib,67M,0.036,63M,1.714,53M,1.729,53M,17.542,51M,1.235,54M
cups,37M,0.02,35M,0.747,16M,0.748,16M,8.228,15M,0.724,17M
gospring,652K,0.001,400K,0.01,252K,0.01,252K,0.071,244K,0.009,284K
imgui,6.4M,0.004,5.8M,0.159,2.5M,0.159,2.5M,1.572,2.1M,0.16,2.5M
impersonator,51M,0.025,51M,1.395,49M,1.402,49M,14.551,49M,1.392,49M
ipwndfu,3.8M,0.003,3.2M,0.079,2.7M,0.079,2.7M,0.548,1.7M,0.073,2.7M
linux,1.2G,0.848,1.1G,25.069,357M,26.073,357M,353.502,296M,23.787,397M
midustry,120M,0.061,117M,3.235,104M,3.334,104M,34.2,100M,3.182,105M
pipx,3.2M,0.003,3.0M,0.076,2.8M,0.076,2.8M,0.594,2.7M,0.073,2.8M
pyenv,8.9M,0.007,7.0M,0.165,4.2M,0.167,4.2M,1.388,3.6M,0.176,4.5M
python,23M,0.013,23M,0.655,17M,0.644,17M,6.56,15M,0.648,17M
ruddre,38M,0.022,35M,0.9,20M,0.903,20M,9.514,18M,0.865,21M
system-config-printer,53M,0.026,53M,1.379,46M,1.354,46M,15.352,44M,1.361,46M
thefuck,6.0M,0.004,5.1M,0.13,4.2M,0.132,4.2M,1.113,3.9M,0.135,4.3M
transformers,8.8M,0.006,8.3M,0.217,5.8M,0.215,5.8M,1.963,5.4M,0.216,6.0M
