alstore 48M 0.025s 0.025s 0.025s 48M 1.207s 1.206s 1.222s 45M 1.225s 1.208s 1.197s 45M 13.235s 13.237s 13.205s 44M 1.148s 1.270s 1.144s 45M
andrewng 372M 0.178s 0.178s 0.177s 371M 10.327s 10.134s 9.952s 359M 9.990s 10.185s 10.132s 359M 110.262s 109.618s 109.694s 348M 9.779s 9.762s 9.622s 359M
bandersnatch 1.5M 0.002s 0.002s 0.002s 1.2M 0.030s 0.030s 0.030s 796K 0.030s 0.030s 0.030s 796K 0.219s 0.219s 0.221s 752K 0.030s 0.029s 0.028s 832K
chiaki 5.6M 0.004s 0.004s 0.004s 5.0M 0.122s 0.131s 0.126s 3.7M 0.122s 0.122s 0.130s 3.7M 0.987s 0.987s 0.988s 3.4M 0.121s 0.126s 0.124s 3.8M
codesearch 136M 0.066s 0.064s 0.064s 135M 3.759s 3.738s 3.766s 58M 3.809s 3.835s 3.746s 58M 51.591s 51.257s 51.345s 49M 4.068s 3.867s 3.867s 59M
contrib 67M 0.037s 0.036s 0.036s 63M 1.711s 1.700s 1.731s 53M 1.734s 1.731s 1.721s 53M 17.515s 17.663s 17.448s 51M 1.227s 1.231s 1.248s 54M
cups 37M 0.020s 0.020s 0.020s 35M 0.749s 0.745s 0.747s 16M 0.749s 0.746s 0.748s 16M 8.195s 8.288s 8.201s 15M 0.725s 0.726s 0.721s 17M
gospring 652K 0.001s 0.001s 0.001s 400K 0.010s 0.010s 0.010s 252K 0.010s 0.010s 0.010s 252K 0.072s 0.070s 0.070s 244K 0.010s 0.009s 0.009s 284K
imgui 6.4M 0.004s 0.004s 0.004s 5.8M 0.159s 0.160s 0.158s 2.5M 0.158s 0.160s 0.158s 2.5M 1.572s 1.571s 1.572s 2.1M 0.158s 0.161s 0.160s 2.5M
impersonator 51M 0.026s 0.025s 0.025s 51M 1.394s 1.398s 1.394s 49M 1.393s 1.402s 1.410s 49M 14.609s 14.452s 14.593s 49M 1.377s 1.393s 1.407s 49M
ipwndfu 3.8M 0.003s 0.003s 0.003s 3.2M 0.079s 0.078s 0.079s 2.7M 0.079s 0.079s 0.078s 2.7M 0.547s 0.546s 0.551s 1.7M 0.072s 0.073s 0.073s 2.7M
linux 1.2G 0.856s 0.854s 0.833s 1.1G 25.429s 24.874s 24.904s 357M 24.925s 26.771s 26.523s 357M 353.161s 352.587s 354.757s 296M 23.225s 23.199s 24.937s 397M
midustry 120M 0.063s 0.060s 0.060s 117M 3.260s 3.219s 3.225s 104M 3.417s 3.250s 3.335s 104M 35.278s 33.626s 33.696s 100M 3.203s 3.170s 3.174s 105M
pipx 3.2M 0.003s 0.003s 0.003s 3.0M 0.077s 0.076s 0.076s 2.8M 0.076s 0.076s 0.076s 2.8M 0.595s 0.594s 0.593s 2.7M 0.073s 0.073s 0.073s 2.8M
pyenv 8.9M 0.007s 0.007s 0.007s 7.0M 0.165s 0.166s 0.165s 4.2M 0.168s 0.167s 0.166s 4.2M 1.387s 1.367s 1.411s 3.6M 0.176s 0.177s 0.175s 4.5M
python 23M 0.013s 0.013s 0.013s 23M 0.674s 0.659s 0.631s 17M 0.646s 0.643s 0.644s 17M 6.649s 6.497s 6.534s 15M 0.652s 0.640s 0.651s 17M
ruddre 38M 0.022s 0.022s 0.022s 35M 0.897s 0.903s 0.901s 20M 0.917s 0.884s 0.909s 20M 9.510s 9.451s 9.580s 18M 0.868s 0.860s 0.866s 21M
system-config-printer 53M 0.027s 0.026s 0.026s 53M 1.385s 1.369s 1.382s 46M 1.364s 1.349s 1.349s 46M 15.303s 15.380s 15.372s 44M 1.342s 1.427s 1.315s 46M
thefuck 6.0M 0.005s 0.004s 0.004s 5.1M 0.128s 0.132s 0.129s 4.2M 0.131s 0.130s 0.134s 4.2M 1.118s 1.111s 1.109s 3.9M 0.146s 0.130s 0.130s 4.3M
transformers 8.8M 0.006s 0.006s 0.006s 8.3M 0.219s 0.215s 0.217s 5.8M 0.217s 0.215s 0.214s 5.8M 1.943s 2.013s 1.932s 5.4M 0.225s 0.210s 0.213s 6.0M
