alstore 48M 1.328s 1.288s 1.288s 45M 1.202s 1.201s 1.185s 45M
andrewng 372M 10.075s 9.933s 10.026s 359M 9.640s 9.939s 9.902s 359M
bandersnatch 1.5M 0.055s 0.043s 0.043s 796K 0.031s 0.031s 0.031s 832K
chiaki 5.6M 0.180s 0.148s 0.149s 3.7M 0.135s 0.133s 0.134s 3.8M
codesearch 136M 8.233s 8.047s 8.135s 58M 8.976s 8.656s 8.692s 58M
contrib 67M 2.572s 2.513s 2.356s 53M 2.361s 2.716s 2.326s 54M
cups 37M 1.345s 1.186s 1.234s 16M 1.105s 1.114s 1.116s 17M
gospring 652K 0.020s 0.012s 0.012s 252K 0.010s 0.010s 0.010s 284K
imgui 6.4M 0.433s 0.418s 0.420s 2.4M 0.428s 0.429s 0.435s 2.5M
impersonator 51M 1.534s 1.482s 1.457s 49M 1.457s 1.461s 1.471s 49M
ipwndfu 3.8M 0.118s 0.101s 0.100s 2.7M 0.081s 0.081s 0.082s 2.7M
linux 3.8G 134.258s 129.512s 132.373s 2.7G 129.366s 130.241s 128.554s 2.8G
midustry 120M 3.968s 3.853s 3.813s 104M 3.669s 3.707s 3.703s 105M
pipx 3.2M 0.092s 0.082s 0.084s 2.8M 0.074s 0.075s 0.074s 2.8M
pyenv 8.9M 0.309s 0.218s 0.218s 4.2M 0.204s 0.205s 0.202s 4.5M
python 23M 0.892s 0.834s 0.852s 17M 0.825s 0.826s 0.824s 17M
ruddre 38M 2.179s 2.066s 2.074s 20M 2.010s 1.979s 2.134s 21M
system-config-printer 53M 1.794s 1.705s 1.702s 45M 1.666s 1.632s 1.647s 46M
thefuck 6.0M 0.196s 0.150s 0.151s 4.2M 0.137s 0.135s 0.135s 4.3M
transformers 8.8M 0.336s 0.324s 0.319s 5.8M 0.275s 0.276s 0.278s 6.0M
